Title,Link
WE DID OUR FIRST LIVE BMX SHOW!,https://youtube.com/watch?v=3oyQc_Gbd6w
FIRST TRICK SINCE MY ACCIDENT!,https://youtube.com/watch?v=YIZ5LYIdHCU
SIDE BY SIDE BACKFLIPS!,https://youtube.com/watch?v=POwgOJ7leCs
CHANNEL CHALLENGE WINNER CRASH LANDS!,https://youtube.com/watch?v=IfsGzGWzVbU
GUESS WHO'S BACK AT THE SKATEPARK?,https://youtube.com/watch?v=m5iwGuYxIlg
THE SADDEST VIDEO EVER ON MY CHANNEL,https://youtube.com/watch?v=jQr_TsVs018
HIGH JUMP CHALLENGE!,https://youtube.com/watch?v=jCEebth89UY
RANDOM GUYS vs. OUR CREW AT THE SKATEPARK!,https://youtube.com/watch?v=6rkmEDyXyXg
BMX HURDLE CHALLENGE! #3,https://youtube.com/watch?v=wpBlLfljO84
SCOTTY SAYS GAME OF BIKE!,https://youtube.com/watch?v=B0bUhqMhebo
RIDING THE MYSTERY SKATEPARK WITH PINK RAMPS!,https://youtube.com/watch?v=mrkjnH2AzdA
WE CAN'T ALL BE BIG ROCKSTARS!,https://youtube.com/watch?v=24RExH4MN1U
SCOTTY CRANMER INJURY UPDATE - 19 MONTHS LATER!,https://youtube.com/watch?v=Y3Y56qfLxYk
BAD LUCK COST ME A LOT OF MONEY! EPIC ADVENTURE PT. 2,https://youtube.com/watch?v=UUIZsUHFL8k
SAYING GOODBYE TO MY TURTLES! EPIC ADVENTURE PT. 1,https://youtube.com/watch?v=-lzTrvcKGJM
"""BRAKING"" BIG BOY AGAIN!",https://youtube.com/watch?v=WLKo2d1TMSo
FLAT TIRE DEATH GAP! #6,https://youtube.com/watch?v=PmNwznFU3bc
TREY SAUCE ALL OVER NEW JERSEY!,https://youtube.com/watch?v=0MsfYXRlCg0
HE RODE HIS BIKE OVER BIG BOY'S TRUCK!,https://youtube.com/watch?v=9C-8b-nrKIw
MATTY'S BIG JUMP DIDN'T GO AS PLANNED!,https://youtube.com/watch?v=S8x-ttdTGls
WE DON'T BELONG ON A GOLF COURSE!,https://youtube.com/watch?v=HaUHpa84mvc
SHORT TRACK ATTACK!,https://youtube.com/watch?v=eyoCyHXHLAQ
RIDING IN THE OLD BRIDGE DITCH!,https://youtube.com/watch?v=uRaOoTb4hdk
SOMETHING'S BAD AT THE SKATEPARK!,https://youtube.com/watch?v=tm8ZWziPshI
WARM WEATHER = OUTDOOR SKATEPARK!,https://youtube.com/watch?v=Bn9P9LySCHU
APPENDICITIS AND CRAZY GAP TO RAIL AT PRINCETON UNIVERSITY!,https://youtube.com/watch?v=mazFgrvy7rc
REALLY BAD SPINAL DURING GAME OF BIKE!,https://youtube.com/watch?v=f8Xt45p_uEE
GOING FULL KANGAROO AT AN AUSTRALIAN ZOO!,https://youtube.com/watch?v=dsPtW-eoqYA
BEST BMX BOWL CONTEST EVER!,https://youtube.com/watch?v=LRzddJQApjs
QUALIFYING FOR THE BIG COMPETITION!,https://youtube.com/watch?v=0-8HbwHQD4I
